fec_vta,suc_vta,or_vta,stat_vta,cve_esp,clas_car,stat_reg,cve_gra,cve_serv,tip_com,par_dat,emi_stat,cor_sc,per_int,ser_id,zon_vta,vta_id,bol_vta,fi_vta,var_ord,fec_ord,cve_ord_dte,cve_vta_ord,imp_ant,diniper,digitover,gcioid,fec_arb
2024-10-13,2076,5172522056,1,75692,V,1,0,0,11,669549,0,4,4,0,53,400,3,0,0.00,1901-01-01 00:00:00,1106999   ,8460,517.00,2024-10-25 12:02:00,4,1,2024-11-21 03:16:03.455857000
2024-10-17,2099,19552022079,1,1211793,V,0,0,0,11,1211793,0,0,26,0,0,184,3,0,14300.00,1901-01-01 00:00:00,999999    ,0,550.00,2024-11-02 12:16:00,3,1,2024-11-21 03:16:03.455857000
2024-10-26,2112,4486472092,1,88379,V,1,0,0,11,549477,0,3,4,0,112,184,3,-1,0.00,1901-01-01 00:00:00,00846632  ,5327,215.00,2024-11-02 13:13:00,3,1,2024-11-21 03:16:03.455857000
2024-10-20,2127,15708652107,1,213328,V,1,0,0,12,1749478,0,3,4,0,19,184,3,-1,0.00,1901-01-01 00:00:00,1121923   ,1418,196.00,2024-11-02 14:28:00,1,16,2024-11-21 03:16:03.455857000
2024-10-26,2156,2535232136,1,330308,V,1,0,0,11,330308,0,3,3,0,64,184,3,0,0.00,1901-01-01 00:00:00,00957805  ,7561,178.00,2024-11-06 13:17:00,2,1,2024-11-21 03:16:03.455857000
2024-10-27,2162,6621082142,1,799772,V,0,0,0,11,799772,0,0,154,0,0,184,3,0,25872.00,1901-01-01 00:00:00,999999    ,0,168.00,2024-11-12 19:35:00,8,1,2024-11-21 03:16:03.455857000
2024-10-26,2074,5955412054,1,82483,V,1,0,0,10,756716,0,0,0,0,63,291,3,-2,0.00,1901-01-01 00:00:00,1157944   ,4211,258.00,2024-11-08 00:00:00,8,1,2024-11-21 03:16:03.455857000
2024-10-29,2198,7558152178,1,899931,V,0,0,0,11,899931,0,0,96,0,0,184,3,0,20640.00,1901-01-01 00:00:00,999999    ,0,215.00,2024-11-11 18:55:00,2,1,2024-11-21 03:16:03.455857000
2024-10-22,2199,7613142179,1,66228,V,1,0,0,11,906596,0,3,3,0,31,184,3,0,0.00,1901-01-01 00:00:00,279919    ,3508,231.00,2024-11-04 19:01:00,9,51,2024-11-21 03:16:03.455857000
2024-10-20,2043,8502522023,1,1017319,V,0,0,0,11,1017319,0,0,0,0,0,291,3,0,26880.00,1901-01-01 00:00:00,999999    ,0,280.00,2024-10-27 12:45:00,9,1,2024-11-21 03:16:03.455857000
