vta_can,id_tip_car,cve_art,imp_sob,man_vta,dig_over,or_vta,stat_per_vta,ges_vta,cla_vta,din_ipe,gci_oid,fec_arb,mto_vta,imp_doc,fec_ibo,vta_clas,stat_car_vta,ser_id_car,pag_car,pag_car_tx,rut_abt,nov_abt,fid_dpt,fec_ctd,man_abt,man_otor_vta
72561,9578,31060794,15166.00,308.00,1,4328552144,1,0,0,2024-11-04 17:56:00,1,2024-11-21 03:16:03.455857000,47432.00,949.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,924.00,0,0,0,2024-11-19 02:38:00,3,46508.00
65387,9069,31060787,10595.00,424.00,8,5259192131,1,0,0,2024-11-01 18:05:00,1,2024-11-21 03:16:03.455857000,20094.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,1696.00,0,0,0,2024-11-16 00:21:00,4,41552.00
60162,9597,31059608,11435.00,174.00,3,5681332078,1,2,0,2024-10-23 12:27:00,1,2024-11-21 03:16:03.455857000,18634.00,2800.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,870.00,0,0,0,2024-11-20 00:20:00,5,25926.00
902396,4000,31060794,16473.00,192.00,7,7747072191,1,0,0,2024-11-04 17:59:00,1,2024-11-21 03:16:03.455857000,25972.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,29568.00,0,0,0,2024-10-22 17:59:00,154,0.00
21290,9179,31059608,5224.00,410.00,6,10519202180,1,0,0,2024-10-23 18:23:00,1,2024-11-21 03:16:03.455857000,12024.00,3199.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,2050.00,0,0,0,2024-11-20 19:43:00,5,27470.00
678538,4000,31060787,5685.00,542.00,9,5338852083,1,0,0,2024-10-28 12:57:00,1,2024-11-21 03:16:03.455857000,15184.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,28184.00,0,0,0,2024-10-13 12:57:00,52,0.00
29069,8223,31060787,10805.00,188.00,7,6614002142,1,0,0,2024-10-29 17:06:00,1,2024-11-21 03:16:03.455857000,20304.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,940.00,0,0,0,2024-11-20 00:21:00,5,19364.00
75355,9746,31060787,8207.00,306.00,2,10838982168,1,0,0,2024-11-04 19:14:00,1,2024-11-21 03:16:03.455857000,17706.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,918.00,0,0,0,2024-11-19 00:26:00,3,22950.00
124867,8908,31060787,9509.00,260.00,5,8507362023,1,0,0,2024-11-10 18:53:00,1,2024-11-21 03:16:03.455857000,19008.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,780.00,0,0,0,2024-11-19 00:29:00,3,24180.00
78700,9639,31060794,9279.00,414.00,2,6612082142,1,0,0,2024-10-27 16:02:00,1,2024-11-21 03:16:03.455857000,18778.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,1656.00,0,0,0,2024-11-18 00:23:00,4,38088.00
78700,9639,31060787,9279.00,414.00,2,6612082142,1,0,0,2024-10-27 16:02:00,1,2024-11-21 03:16:03.455857000,18778.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,1656.00,0,0,0,2024-11-18 00:23:00,4,38088.00
774153,4000,31059608,7129.00,256.00,1,6494242470,1,0,0,2024-11-17 09:42:00,1,2024-11-21 03:16:03.455857000,16128.00,1000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,18432.00,0,0,0,2024-10-29 09:43:00,72,0.00
141165,9224,31059608,11619.00,138.00,3,1226540987,1,0,0,2024-11-09 19:28:00,1,2024-11-21 03:16:03.455857000,19718.00,1900.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,276.00,0,0,0,2024-11-18 00:30:00,2,20976.00
1402868,4000,31059608,12974.00,340.00,6,1226268987,1,0,0,2024-11-03 14:22:00,1,2024-11-21 03:16:03.455857000,20174.00,2799.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,52360.00,0,0,0,2024-10-25 14:22:00,154,0.00
61027,4000,31061673,32281.00,380.00,9,420111256,1,0,0,2024-11-16 13:22:00,1,2024-11-21 03:16:03.455857000,49280.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,58520.00,0,0,0,2024-10-28 13:22:00,154,0.00
57732,8218,31060794,16835.00,387.00,1,5469652156,1,0,0,2024-10-21 12:19:00,1,2024-11-21 03:16:03.455857000,26334.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,1935.00,0,0,0,2024-11-18 00:21:00,5,57663.00
57732,8218,31060787,16835.00,387.00,1,5469652156,1,0,0,2024-10-21 12:19:00,1,2024-11-21 03:16:03.455857000,26334.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,1935.00,0,0,0,2024-11-18 00:21:00,5,57663.00
79147,8225,31059608,5199.00,365.00,4,6564812141,1,0,0,2024-11-03 17:39:00,1,2024-11-21 03:16:03.455857000,9699.00,5499.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,1095.00,0,0,0,2024-11-19 00:24:00,3,33945.00
104872,8170,31060794,13061.00,304.00,1,7837642062,1,0,0,2024-10-20 20:19:00,1,2024-11-21 03:16:03.455857000,22560.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,1520.00,0,0,0,2024-11-19 00:45:00,5,27664.00
102038,9215,31059608,5057.00,300.00,2,7852772062,1,0,0,2024-11-11 18:03:00,1,2024-11-21 03:16:03.455857000,13156.00,1900.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,902.00,0,0,0,2024-11-19 00:45:00,3,14698.00
